Customer ID,Customer Name,Account Status,Latitude,Longitude,Report Address,Location,Company,Customer Type,Time Updated,Time Created
8214,7 ELEVEN #12702,Active,30.232152,-97.737332,"7 ELEVEN #12702, 1747 E OLTORF ST, AUSTIN, TX 78741",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:42 PM
8215,7 ELEVEN #12705,Active,30.278466,-97.743758,"7 ELEVEN #12705, 408 W 15TH ST, AUSTIN, TX 78701",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:42 PM
8230,7 ELEVEN #23621,Active,30.244082,-97.782217,"7 ELEVEN #23621, 2820 S LAMAR BLVD, AUSTIN, TX 78704",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:42 PM
8235,7 ELEVEN #24909,Active,30.202996,-97.837841,"7 ELEVEN #24909, 8010 BRODIE LN, AUSTIN, TX 78745",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:42 PM
8257,ACADEMY #25,Active,30.1902276,-97.7722747,"ACADEMY #25, 801 E WILLIAM CANNON DR STE 10, AUSTIN, TX 78745-6646",Austin,Chaparral,All Other Off Premise*,8/21/2025 11:24 PM,1/10/2011 6:42 PM
8269,AIRPORT EXPRESS,Active,30.210205,-97.6519,"AIRPORT EXPRESS, 2777 HIGHWAY 71 E, DEL VALLE, TX 78617",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:42 PM
8341,TEXAN FOOD MART,Active,30.174622,-97.769469,"TEXAN FOOD MART, 7612 BLUFF SPRINGS RD, AUSTIN, TX 78744",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:43 PM
8378,EZ WAY FOOD MART,Active,30.260782,-97.711056,"EZ WAY FOOD MART, 2700 E 7TH ST, AUSTIN, TX 78702",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:43 PM
8465,CORNER STORE #1303,Active,30.185773,-97.81694,"CORNER STORE #1303, 8628 MANCHACA RD, AUSTIN, TX 78748",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:43 PM
8473,CORNER STORE #1319,Active,30.252201,-97.709105,"CORNER STORE #1319, 3112 E CESAR CHAVEZ ST, AUSTIN, TX 78702",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:43 PM
8493,VALERO #967,Active,30.212167,-97.716157,"VALERO #967, 6009 E BEN WHITE BLVD, AUSTIN, TX 78741",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:43 PM
8511,CVS #6822,Active,30.32547,-97.740255,"CVS #6822, 5256 BURNETT RD B, AUSTIN, TX 78756",Austin,Chaparral,Drug*,8/21/2025 11:24 PM,1/10/2011 6:44 PM
8536,CYPRESS BEND CAFETERIA #205,Active,30.283489,-97.738286,"CYPRESS BEND CAFETERIA #205, 309 E 21ST ST, AUSTIN, TX 78705",Austin,Chaparral,All Other Off Premise*,8/21/2025 11:24 PM,1/10/2011 6:44 PM
8599,HIGHWAY FOOD MART,Active,30.187096,-97.606423,"HIGHWAY FOOD MART, 4535 HIGHWAY 71 E, DEL VALLE, TX 78617",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:44 PM
8601,SNACK TIME #3,Active,30.18365369999999,-97.68817059999999,"SNACK TIME #3, 8240 BURLESON RD, AUSTIN, TX 78744",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:44 PM
8630,EZ FOOD STORE #3,Active,30.196967,-97.788407,"EZ FOOD STORE #3, 719 W WILLIAM CANNON DR, AUSTIN, TX 78745",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:44 PM
8634,EZ STOP GROCERY & GAS,Active,30.297877,-97.686911,"EZ STOP GROCERY & GAS, 5029 MANOR RD, AUSTIN, TX 78723",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:44 PM
8638,GRABOOST,Active,30.28568,-97.681724,"GRABOOST, 4611 EAST M L K, AUSTIN, TX 78721",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:44 PM
8700,2222 MARKET,Active,30.329947,-97.729069,"2222 MARKET, 1112 W KOENIG LN, AUSTIN, TX 78756",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:45 PM
8709,HILL COUNTRY FOOD MART (HWY 71),Active,30.3094326,-97.96126579999999,"HILL COUNTRY FOOD MART (HWY 71), 13908 W HIGHWAY 71, AUSTIN, TX 78738",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:45 PM
8723,HUDSON BEND GROCERY,Active,30.412476,-97.926553,"HUDSON BEND GROCERY, 5001 HUDSON BEND RD, AUSTIN, TX 78734",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:45 PM
8743,JESTER MARKET,Active,30.370093,-97.799846,"JESTER MARKET, 6507 JESTER BLVD STE 1, AUSTIN, TX 78750",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:45 PM
8902,MONARCH QUICKSTOP,Active,30.293103,-97.71621,"MONARCH QUICKSTOP, 1402 E 38TH 1/2 ST, AUSTIN, TX 78722",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:46 PM
8905,MONTOPOLIS GROCERY,Active,30.231379,-97.699157,"MONTOPOLIS GROCERY, 1211 MONTOPOLIS DR, AUSTIN, TX 78741",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:46 PM
8917,MURPHY USA #7211,Active,30.166616,-97.789011,"MURPHY USA #7211, 9300 S INTERSTATE 35, AUSTIN, TX 78748",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:46 PM
8958,PAC N GO 902,Active,30.078659,-97.844933,"PAC N GO 902, 105 JACK C HAYS TRL, BUDA, TX 78610",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:46 PM
8969,PARK PLACE FOODS #5,Active,30.009263,-97.831362,"PARK PLACE FOODS #5, 2101 BEBEE RD, KYLE, TX 78640",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:46 PM
8990,PICKYS PANTRY,Active,30.299725,-97.837434,"PICKYS PANTRY, 6806 BEE CAVE RD, AUSTIN, TX 78746",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:47 PM
8993,JEKS FOOD MART EAST,Active,30.263443,-98.856456,"JEKS FOOD MART EAST, 1110 E MAIN ST, FREDERICKSBURG, TX 78624",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:47 PM
8996,JEKS FOOD MART WEST,Active,30.281265,-98.880104,"JEKS FOOD MART WEST, 528 W MAIN ST, FREDERICKSBURG, TX 78624",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:47 PM
9081,MOMS #7,Active,30.130139,-97.643615,"MOMS #7, 13000 FM 812, DEL VALLE, TX 78617",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:47 PM
9083,LAMAR GROCERY,Active,30.247801,-97.773715,"LAMAR GROCERY, 2238 S LAMAR BLVD, AUSTIN, TX 78704",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:47 PM
9133,GARFIELD MARKET,Active,30.18439,-97.547276,"GARFIELD MARKET, 5300 HIGHWAY 71 E, DEL VALLE, TX 78617",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:47 PM
9134,ROCKNE GROCERY,Active,30.002144,-97.43312,"ROCKNE GROCERY, 1777 FM 20, BASTROP, TX 78602",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:47 PM
9286,SPEEDY PIC #7,Active,30.261512,-97.716033,"SPEEDY PIC #7, 2314 E 7TH ST, AUSTIN, TX 78702",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:48 PM
9319,7 ELEVEN #36559,Active,30.39815,-97.928428,"7 ELEVEN #36559, 3636 RANCH ROAD 620 N, AUSTIN, TX 78734",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:48 PM
9343,STAGECOACH STOP,Active,30.224843,-98.804605,"STAGECOACH STOP, 24 RANCH ROAD 1376, FREDERICKSBURG, TX 78624",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:48 PM
9365,STOP N GO #2194,Active,30.189467,-97.767121,"STOP N GO #2194, 1706 E WILLIAM CANNON DR, AUSTIN, TX 78744",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:49 PM
9376,SUNNYS FOOD,Active,29.895937,-97.964505,"SUNNYS FOOD, 1701 RANCH ROAD 12, SAN MARCOS, TX 78666",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:49 PM
9379,SUNRISE MINI MART (OLTORF ST),Active,30.243735,-97.764173,"SUNRISE MINI MART (OLTORF ST), 915 W OLTORF ST, AUSTIN, TX 78704",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:49 PM
9385,SUNRISE MINI MART #8,Active,30.241785,-97.75959,"SUNRISE MINI MART #8, 539 W OLTORF ST, AUSTIN, TX 78704",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:49 PM
9402,CEDAR MART (TAHITIAN DR),Active,30.100301,-97.285456,"CEDAR MART (TAHITIAN DR), 128 TAHITIAN DR, BASTROP, TX 78602",Austin,Chaparral,Convenience*,8/21/2025 3:01 AM,1/10/2011 6:49 PM
9454,SHELL FOOD MART (W HWY 290),Active,30.191833,-98.088882,"SHELL FOOD MART (W HWY 290), 200 W HIGHWAY 290, DRIPPING SPRINGS, TX 78620",Austin,Chaparral,Convenience*,8/21/2025 11:24 PM,1/10/2011 6:49 PM
9505,TOMS LIQUORS,Active,30.312227,-97.662755,"TOMS LIQUORS, 7112 ED BLUESTEIN BLVD STE 142, AUSTIN, TX 78723",Austin,Chaparral,Liquor*,8/21/2025 11:24 PM,1/10/2011 6:49 PM
