Customer ID,Customer Name,Territory,Account Status,Customer Type,Report Company Address,Latitude,Longitude,Location,Company
8199,1 STOP FOOD STORE,District - G. Moales,Active,Convenience*,"1 STOP FOOD STORE, 5101 AIRPORT BLVD, AUSTIN, TX 78751",30.312249,-97.714988,Austin,Chaparral
8208,MOM'S #5,District - G. Moales,Active,Convenience*,"MOM'S #5, 10900 W HIGHWAY 290, AUSTIN, TX 78737",30.222192,-97.956547,Austin,Chaparral
8212,7 DAYS FOOD STORE,District - I. Velazquez,Active,Convenience*,"7 DAYS FOOD STORE, 1025 W STASSNEY LN, AUSTIN, TX 78745",30.210294,-97.786936,Austin,Chaparral
8214,7 ELEVEN #12702,District - I. Velazquez,Active,Convenience*,"7 ELEVEN #12702, 1747 E OLTORF ST, AUSTIN, TX 78741",30.232152,-97.737332,Austin,Chaparral
8215,7 ELEVEN #12705,District - G. Moales,Active,Convenience*,"7 ELEVEN #12705, 408 W 15TH ST, AUSTIN, TX 78701",30.278466,-97.743758,Austin,Chaparral
8217,7 ELEVEN #16996,District - G. Moales,Active,Convenience*,"7 ELEVEN #16996, 2600 GUADALUPE ST, AUSTIN, TX 78705",30.290716,-97.741629,Austin,Chaparral
8219,7 ELEVEN #19097,District - I. Velazquez,Active,Convenience*,"7 ELEVEN #19097, 1705 S LAKESHORE BLVD, AUSTIN, TX 78741",30.244423,-97.729656,Austin,Chaparral
8220,7 ELEVEN #19713,District - G. Moales,Active,Convenience*,"7 ELEVEN #19713, 301 SHORT ST, SMITHVILLE, TX 78957",30.006763,-97.154838,Austin,Chaparral
8225,7 ELEVEN #21884,District - G. Moales,Active,Convenience*,"7 ELEVEN #21884, 917 N LAMAR BLVD, AUSTIN, TX 78703",30.274719,-97.752065,Austin,Chaparral
8226,7 ELEVEN #22245,District - G. Moales,Active,Convenience*,"7 ELEVEN #22245, 2103 S CONGRESS AVE, AUSTIN, TX 78704",30.243003,-97.751733,Austin,Chaparral
